1;ACC1047;13.8.2015;200;yatan
2;ACC8274;13.8.2015;150;yatan
1;ACC1047;14.8.2015;100;cekilen
1;ACC1047;14.8.2015;400;yatan
2;ACC8274;14.8.2015;120;cekilen
1;ACC1047;17.8.2015;150;cekilen
1;ACC1047;17.8.2015;300;yatan
1;ACC1047;17.8.2015;150;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;50;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
2;ACC8274;17.8.2015;100;yatan
2;ACC8274;17.8.2015;490;cekilen
2;ACC8274;17.8.2015;500;yatan
